,SRR3917608,SRR3736988,SRR3736989,SRR3917587,SRR3917627,SRR3917619,SRR3736999,SRR3736998,SRR3737029,SRR3737001,SRR3737015,SRR3917694,SRR3730381,SRR3730395,SRR3730356,SRR3730357,SRR3730394,SRR3730380,SRR3917695,SRR3737014,SRR3737000,SRR3737028,SRR3737016,SRR3737002,SRR3917697,SRR3730396,SRR3730382,SRR3730355,SRR3730369,SRR3730368,SRR3730354,SRR3730383,SRR3730397,SRR3917696,SRR3737003,SRR3737017,SRR3737013,SRR3737007,SRR3917686,SRR3917692,SRR3730393,SRR3730387,SRR3730378,SRR3730350,SRR3730345,SRR3730351,SRR3730379,SRR3730386,SRR3730392,SRR3917693,SRR3917687,SRR3737006,SRR3737012,SRR3737004,SRR3737010,SRR3917691,SRR3730384,SRR3730390,SRR3730347,SRR3730353,SRR3730352,SRR3730346,SRR3730391,SRR3730385,SRR3917690,SRR3737011,SRR3737005,SRR3737020,SRR3917689,SRR3730388,SRR3730363,SRR3730377,SRR3730376,SRR3730362,SRR3730389,SRR3917688,SRR3737021,SRR3737009,SRR3737023,SRR3730374,SRR3730360,SRR3730348,SRR3730349,SRR3730361,SRR3730375,SRR3917648,SRR3737022,SRR3737026,SRR3730359,SRR3730371,SRR3730365,SRR3730364,SRR3730370,SRR3730358,SRR3917665,SRR3737025,SRR3737031,SRR3917698,SRR3730399,SRR3730400,SRR3730366,SRR3730372,SRR3730373,SRR3730367,SRR3730398,SRR3737018,SRR3737030,SRR3737024,SRR3917563,SRR3736995,SRR3736994,SRR3917562,SRR3736996,SRR3736997,SRR3736987,SRR3736993,SRR3736986,SRR3736990,SRR3736984,SRR3736985,SRR3736991
1763535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930020,0,0,0,1,1,0,3,1,0,1,0,0,0,2,2,2,4,3,0,0,2,0,0,2,0,0,0,0,0,26,0,2,4,0,0,2,2,0,1,1,0,0,0,11,3,3,47,18,0,0,1,1,2,1,0,2,0,25,30,3,5,0,6,0,0,1,1,0,1,39,6,0,20,0,47,1,1,1,2,15,0,6,0,23,0,1,2,0,0,3,0,13,3,0,0,2,1,2,0,0,6,0,0,0,0,0,1,1,1,2,1,1,1,2,3,0,5,1,1,1,1
1262894,0,0,2,13,7,1,10,2,0,4,1,2,0,0,0,0,0,0,3,0,1,3,0,27,1,0,0,0,0,0,0,0,0,0,3,5,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,358,2,1,7,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,10,2,5,39,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,6,1,486,0,0,0,0,0,0,0,4,3,1,3,1,3,1,40,27,13,3,138,9,1,3,3
1588750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950423,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0
1262818,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,803,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,2,0,27,0,0,0,7
1892844,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262823,0,0,32,12,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,4,17,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,29,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,19,1,2,0,0,2,13
512314,53,45,96,50,208,268,46,28,58,114,63,78,5,117,2,0,36,20,48,78,77,25,0,27,102,490,120,70,24,0,12,2,16,61,525,173,85,32,19,48,0,30,56,12,39,0,53,396,13,13,46,48,16,114,250,85,28,97,7,1,0,146,0,1521,30,155,27,83,65,60,3,23,1399,2,0,147,101,78,39,0,7,107,5,120,0,730,22,41,351,5,206,6,18,680,24,155,116,38,0,40,19,512,16,257,88,44,45,28,36,28,218,57,74,55,69,45,25,59,45,79,282
1947999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,0,0,0,0,0,0,0,0,3,5,0,7,33,6,0,0,0,0,0,0,0,0,0,0,2,0,0,9,9,46,0,0,0,0,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,5,0,0,17,0,4,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946245,1,1,2,5,2,1,5,1,6,1,1,1,0,0,0,0,0,0,2,1,2,4,0,2,2,0,0,0,0,0,0,0,0,2,1,5,6,1,9,6,0,0,0,0,0,0,0,0,0,1,1,3,70,6,1,3,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,2,6,1,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,3,2,16,0,0,0,0,0,0,0,2,3,1,2,2,4,1,6,1,7,2,71,2,1,2,3
